"F.E. Spencer, Jr., A.V. Phelps, “Momentum Transfer Cross-Sections and Conductivity Integrals for Gases of MHD Interest”, 1976, SEAM 15",,,,,,,,,,,,,,,,,,,,,,,,
Energy,Energy,Temperature,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section
Energy,Energy,Temperature,Ar,CO,CO2,H,H2,H2O,K,KOH,O,OH,O2,Ar,CO,CO2,H,H2,H2O,K,KOH,O,OH,O2
[ev],[J],[K],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2]
0.35,5.60E-20,3187.122982,0.235,12.7,16.5,33.7,13.45,57.96194321,243,514,4.97,71,5.65,2.35E-21,1.27E-19,1.65E-19,3.37E-19,1.35E-19,5.80E-19,2.43E-18,5.14E-18,4.97E-20,7.10E-19,5.65E-20
0.4,6.40E-20,3642.426265,0.33,13.5,14,32.7,13.9,49.03393677,215,450,5,62,5.8,3.30E-21,1.35E-19,1.40E-19,3.27E-19,1.39E-19,4.90E-19,2.15E-18,4.50E-18,5.00E-20,6.20E-19,5.80E-20
0.5,8.00E-20,4553.032831,0.51,14.3,10.7,31,14.7,33.78117404,180,360,5.05,51,5.9,5.10E-21,1.43E-19,1.07E-19,3.10E-19,1.47E-19,3.38E-19,1.80E-18,3.60E-18,5.05E-20,5.10E-19,5.90E-20
0.7,1.12E-19,6374.245964,0.69,15.5,7.6,27.4,16.3,0,136,257,5.15,37,6.1,6.90E-21,1.55E-19,7.60E-20,2.74E-19,1.63E-19,0,1.36E-18,2.57E-18,5.15E-20,3.70E-19,6.10E-20
1,1.60E-19,9106.065663,1.38,17,5.8,25.2,17.4,0,96,180,5.2,26,7.2,1.38E-20,1.70E-19,5.80E-20,2.52E-19,1.74E-19,0,9.60E-19,1.80E-18,5.20E-20,2.60E-19,7.20E-20
1.2,1.92E-19,10927.2788,1.37,23,5.3,23.8,17.8,0,81,150,5.25,22,7.9,1.37E-20,2.30E-19,5.30E-20,2.38E-19,1.78E-19,0,8.10E-19,1.50E-18,5.25E-20,2.20E-19,7.90E-20
1.3,2.08E-19,11837.88536,1.82,31,5.1,23,18,0,76,138,5.3,21,7.9,1.82E-20,3.10E-19,5.10E-20,2.30E-19,1.80E-19,0,7.60E-19,1.38E-18,5.30E-20,2.10E-19,7.90E-20
1.5,2.40E-19,13659.09849,2.1,35,5.05,21.7,18.25,0,66,120,5.35,18.3,7.6,2.10E-20,3.50E-19,5.05E-20,2.17E-19,1.83E-19,0,6.60E-19,1.20E-18,5.35E-20,1.83E-19,7.60E-20
1.7,2.72E-19,15480.31163,2.32,30,5.1,20.5,18.25,0,51,106,5.4,16.1,7.4,2.32E-20,3.00E-19,5.10E-20,2.05E-19,1.83E-19,0,5.10E-19,1.06E-18,5.40E-20,1.61E-19,7.40E-20
1.9,3.04E-19,17301.52476,2.58,20,5.2,19.4,18.1,0,67,94.7,5.43,14.5,6.9,2.58E-20,2.00E-19,5.20E-20,1.94E-19,1.81E-19,0,6.70E-19,9.47E-19,5.43E-20,1.45E-19,6.90E-20
2.1,3.36E-19,19122.73789,2.85,15,5.35,18.5,17.9,0,66,85.7,5.46,13.2,6.6,2.85E-20,1.50E-19,5.35E-20,1.85E-19,1.79E-19,0,6.60E-19,8.57E-19,5.46E-20,1.32E-19,6.60E-20
2.2,3.52E-19,20033.34446,2.97,14,5.65,18.1,17.7,0,63,81.8,5.49,12.8,6.5,2.97E-20,1.40E-19,5.65E-20,1.81E-19,1.77E-19,0,6.30E-19,8.18E-19,5.49E-20,1.28E-19,6.50E-20
2.5,4.00E-19,22765.16416,3.37,12.6,6.5,16.8,17.2,0,54,72,5.6,11.5,6.1,3.37E-20,1.26E-19,6.50E-20,1.68E-19,1.72E-19,0,5.40E-19,7.20E-19,5.60E-20,1.15E-19,6.10E-20
2.8,4.48E-19,25496.98386,3.8,12.1,7.5,15.8,16.7,0,47,64.3,5.65,10.6,5.8,3.80E-20,1.21E-19,7.50E-20,1.58E-19,1.67E-19,0,4.70E-19,6.43E-19,5.65E-20,1.06E-19,5.80E-20
3,4.80E-19,27318.19699,4.1,12,8.9,15.2,16.1,0,43,60,5.7,9.9,5.7,4.10E-20,1.20E-19,8.90E-20,1.52E-19,1.61E-19,0,4.30E-19,6.00E-19,5.70E-20,9.90E-20,5.70E-20
3.3,5.28E-19,30050.01669,4.5,11.8,11.1,14.3,15.6,0,39.5,54.5,5.75,,5.5,4.50E-20,1.18E-19,1.11E-19,1.43E-19,1.56E-19,0,3.95E-19,5.45E-19,5.75E-20,0,5.50E-20
3.6,5.76E-19,32781.83639,4.9,11.7,14.3,13.4,15,0,36.5,50,5.85,,5.45,4.90E-20,1.17E-19,1.43E-19,1.34E-19,1.50E-19,0,3.65E-19,5.00E-19,5.85E-20,0,5.45E-20
4,6.40E-19,36424.26265,5.4,11.7,15.3,12.4,14.3,0,33.5,45,6,,5.5,5.40E-20,1.17E-19,1.53E-19,1.24E-19,1.43E-19,0,3.35E-19,4.50E-19,6.00E-20,0,5.50E-20
4.5,7.20E-19,40977.29548,6.1,11.7,14.8,11.3,13.6,0,32,40,6.1,,5.55,6.10E-20,1.17E-19,1.48E-19,1.13E-19,1.36E-19,0,3.20E-19,4.00E-19,6.10E-20,0,5.55E-20
5,8.00E-19,45530.32831,6.7,11.6,13,10.2,12.9,0,31,36,6.2,,5.6,6.70E-20,1.16E-19,1.30E-19,1.02E-19,1.29E-19,0,3.10E-19,3.60E-19,6.20E-20,0,5.60E-20
6,9.60E-19,54636.39398,8.1,11.5,10.3,8.4,11.8,0,,30,6.4,,6,8.10E-20,1.15E-19,1.03E-19,8.40E-20,1.18E-19,0,0,3.00E-19,6.40E-20,0,6.00E-20
7,1.12E-18,63742.45964,9.6,11.4,9.8,7.1,11,0,,25.7,6.6,,6.6,9.60E-20,1.14E-19,9.80E-20,7.10E-20,1.10E-19,0,0,2.57E-19,6.60E-20,0,6.60E-20
